url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://votreargent.lexpress.fr/bourse-de-paris/kraft-foods-resultats-trimestriels-accueillis-sans-ferveur_359841.html,lexpress.fr,2014-02-14,France,Oscar_Mayer/NAM_NAM/Oscar_Mayer,"Le  groupe  agroalimentaire  américain  -  qui  détient  notamment  les  marques  Maxwell  House  , Oscar_Mayer  et  Philadelphia  -  a  enregistré  au  4  ème  trimestre  un  chiffre  d'  affaires  en  hausse  de  2,3  %  ,  notamment  à  la  faveur  d'  une  croissance  organique  de  3,2  %  .",oscar_mayer,nam_nam,oscar_mayer,",",",",PUNCT,House,House,PROPN,Maxwell,Maxwell,PROPN,marques,marque,NOUN,les,le,DET,et,et,CONJ,Philadelphia,Philadelphia,PROPN,-,-,PUNCT,a,avoir,VERB,enregistré,enregistrer,VERB,2014-02-14,2014,2010,PROPN PUNCT Oscar Mayer CONJ PROPN,PUNCT Oscar Mayer CONJ,PROPN PUNCT Oscar Mayer,PROPN PROPN PUNCT Oscar Mayer,NOUN PROPN PROPN PUNCT Oscar Mayer,Oscar Mayer CONJ PROPN,Oscar Mayer CONJ PROPN PUNCT,Oscar Mayer CONJ PROPN PUNCT VERB,"House , Oscar Mayer et Philadelphia",", Oscar Mayer et","House , Oscar Mayer","Maxwell House , Oscar Mayer","marque Maxwell House , Oscar Mayer",Oscar Mayer et Philadelphia,Oscar Mayer et Philadelphia -,Oscar Mayer et Philadelphia - avoir
http://www.macplus.net/depeche-78636-bacon-tout-est-bon-dans-l-iphone,macplus.net,2014-03-06,===NONE===,Oscar_Mayer/NOM_NAM/oscar_Mayer," Oscar_Mayer  ,  spécialiste  américain  de  la  saucisse  industrielle  ,  y  a  pensé  avec  un  module  diffuseur  d'  arôme  -  et  pas  n'  importe  laquelle  ,  puisque  ce  périphérique  destiné  à  l'  iPhone  émet  une  douce  odeur  de  ...  bacon  !  Cerise  sur  le  cochon  ,  le  haut-parleur  de  l'  objet  fait  aussi  entendre  une  jolie  mélodie  de  grésillement  du  bacon  dans  la  poêle  .",oscar_mayer,nom_nam,oscar_mayer,,,,,,,,,,,,,,,,",",",",PUNCT,spécialiste,spécialiste,NOUN,américain,américain,ADJ,de,de,ADP,la,le,DET,2014-03-06,2014,2010,,,,,,Oscar Mayer PUNCT NOUN,Oscar Mayer PUNCT NOUN ADJ,Oscar Mayer PUNCT NOUN ADJ ADP,,,,,,"Oscar Mayer , spécialiste","Oscar Mayer , spécialiste américain","Oscar Mayer , spécialiste américain de"
http://www.gizmodo.fr/2014/03/06/iphone-bacon.html,gizmodo.fr,2014-03-06,France,Oscar_Mayer/NAM_NAM/Oscar_Mayer,"La  société Oscar_Mayer  va  permettre  aux  amoureux  du  bacon  d'  être  réveillé  par  sa  senteur  ,  et  ce  grâce  à  un  dongle  destiné  à  l'  iphone  d'  Apple  .",oscar_mayer,nam_nam,oscar_mayer,société,société,NOUN,La,le,DET,,,,,,,,,,va,aller,VERB,permettre,permettre,VERB,aux,au,ADP DET,amoureux,amoureux,NOUN,du,du,ADP DET,2014-03-06,2014,2010,DET NOUN Oscar Mayer VERB VERB,NOUN Oscar Mayer VERB,DET NOUN Oscar Mayer,,,Oscar Mayer VERB VERB,Oscar Mayer VERB VERB ADP DET,Oscar Mayer VERB VERB ADP DET NOUN,le société Oscar Mayer aller permettre,société Oscar Mayer aller,le société Oscar Mayer,,,Oscar Mayer aller permettre,Oscar Mayer aller permettre au,Oscar Mayer aller permettre au amoureux
http://www.gizmodo.fr/2014/03/06/iphone-bacon.html,gizmodo.fr,2014-03-06,France,Oscar_Mayer/NAM_NAM/Oscar_Mayer,"Après  avoir  constaté  plus  de  2  millions  de  mentions  du  hashtag  #  bacon  sur  Instagram  , Oscar_Mayer  a  décidé  de  produire  ce  périphérique  en  quantités  très  limitées  ,  pour  combler  les  amoureux  du  lard  salé  .",oscar_mayer,nam_nam,oscar_mayer,",",",",PUNCT,Instagram,Instagram,NOUN,sur,sur,ADP,bacon,bacon,NOUN,#,#,ADJ,a,avoir,VERB,décidé,décider,VERB,de,de,ADP,produire,produire,VERB,ce,ce,PRON,2014-03-06,2014,2010,NOUN PUNCT Oscar Mayer VERB VERB,PUNCT Oscar Mayer VERB,NOUN PUNCT Oscar Mayer,ADP NOUN PUNCT Oscar Mayer,NOUN ADP NOUN PUNCT Oscar Mayer,Oscar Mayer VERB VERB,Oscar Mayer VERB VERB ADP,Oscar Mayer VERB VERB ADP VERB,"Instagram , Oscar Mayer avoir décider",", Oscar Mayer avoir","Instagram , Oscar Mayer","sur Instagram , Oscar Mayer","bacon sur Instagram , Oscar Mayer",Oscar Mayer avoir décider,Oscar Mayer avoir décider de,Oscar Mayer avoir décider de produire
http://www.lefigaro.fr/secteur/high-tech/2014/03/21/01007-20140321ARTFIG00179-ces-innovations-qui-vont-chatouiller-vos-narines.php,lefigaro.fr,2014-03-21,France,Oscar_Mayer/NAM_NAM/Oscar_Mayer,"La  société  américaine  spécialisée  dans  le  domaine  alimentaire Oscar_Mayer  a  inventé  une  application  capable  de  libérer  une  douce  odeur  de  bacon  à  l'  heure  du  réveil  ,  grâce  à  un  diffuseur  qui  se  branche  directement  sur  l'  iPhone  ou  l'  iPad  (  voir  la  photo  en  haut  de  l'  article  )  .",oscar_mayer,nam_nam,oscar_mayer,alimentaire,alimentaire,ADJ,domaine,domaine,NOUN,le,le,DET,dans,dans,ADP,spécialisée,spécialiser,VERB,a,avoir,VERB,inventé,inventer,VERB,une,un,DET,application,application,NOUN,capable,capable,ADJ,2014-03-21,2014,2010,NOUN ADJ Oscar Mayer VERB VERB,ADJ Oscar Mayer VERB,NOUN ADJ Oscar Mayer,DET NOUN ADJ Oscar Mayer,ADP DET NOUN ADJ Oscar Mayer,Oscar Mayer VERB VERB,Oscar Mayer VERB VERB DET,Oscar Mayer VERB VERB DET NOUN,domaine alimentaire Oscar Mayer avoir inventer,alimentaire Oscar Mayer avoir,domaine alimentaire Oscar Mayer,le domaine alimentaire Oscar Mayer,dans le domaine alimentaire Oscar Mayer,Oscar Mayer avoir inventer,Oscar Mayer avoir inventer un,Oscar Mayer avoir inventer un application
http://www.easybourse.com/bourse/marches/point-bourse/tendance/14295/les-valeurs-a-suivre-a-wall-street.html,easybourse.com,2014-04-22,France,Oscar_Mayer/NAM_NAM/Oscar_Mayer,"Le  géant  de  l'  alimentation  a  rappelé  96.000  livres  de  ses  saucisses  pour  hot-dogs Oscar_Mayer  Classic  Wieners  en  raison  d'  un  problème  d'  étiquettage  ,  ont  annoncé  dimanche  les  services  de  contrôle  du  département  de  l'  Agriculture  .",oscar_mayer,nam_nam,oscar_mayer,hot-dogs,hot-dog,NOUN,pour,pour,ADP,saucisses,saucisse,NOUN,ses,son,DET,de,de,ADP,Classic,Classic,PROPN,Wieners,Wieners,PROPN,en,en,ADP,raison,raison,NOUN,d',de,ADP,2014-04-22,2014,2010,ADP NOUN Oscar Mayer PROPN PROPN,NOUN Oscar Mayer PROPN,ADP NOUN Oscar Mayer,NOUN ADP NOUN Oscar Mayer,DET NOUN ADP NOUN Oscar Mayer,Oscar Mayer PROPN PROPN,Oscar Mayer PROPN PROPN ADP,Oscar Mayer PROPN PROPN ADP NOUN,pour hot-dog Oscar Mayer Classic Wieners,hot-dog Oscar Mayer Classic,pour hot-dog Oscar Mayer,saucisse pour hot-dog Oscar Mayer,son saucisse pour hot-dog Oscar Mayer,Oscar Mayer Classic Wieners,Oscar Mayer Classic Wieners en,Oscar Mayer Classic Wieners en raison
http://www.newswire.ca/en/story/1392030/ne-vous-preoccupez-plus-de-l-argent-kraft-dinner-vous-laisse-payer-en-ayant-du-fun,newswire.ca,2014-07-29,Canada,Oscar_Mayer/NAM_NAM/Oscar_Mayer,"Parmi  ses  marques  emblématiques  ,  mentionnons  Kraft  ,  Maxwell  House  , Oscar_Mayer  ,  Philadelphia  ,  Planters  ,  Velveeta  ,  Capri  Sun  ,  JELL-O  et  Lunchables  .",oscar_mayer,nam_nam,oscar_mayer,",",",",PUNCT,House,House,PROPN,Maxwell,Maxwell,PROPN,",",",",PUNCT,Kraft,Kraft,PROPN,",",",",PUNCT,Philadelphia,Philadelphia,PROPN,",",",",PUNCT,Planters,Planters,PROPN,",",",",PUNCT,2014-07-29,2014,2010,PROPN PUNCT Oscar Mayer PUNCT PROPN,PUNCT Oscar Mayer PUNCT,PROPN PUNCT Oscar Mayer,PROPN PROPN PUNCT Oscar Mayer,PUNCT PROPN PROPN PUNCT Oscar Mayer,Oscar Mayer PUNCT PROPN,Oscar Mayer PUNCT PROPN PUNCT,Oscar Mayer PUNCT PROPN PUNCT PROPN,"House , Oscar Mayer , Philadelphia",", Oscar Mayer ,","House , Oscar Mayer","Maxwell House , Oscar Mayer",", Maxwell House , Oscar Mayer","Oscar Mayer , Philadelphia","Oscar Mayer , Philadelphia ,","Oscar Mayer , Philadelphia , Planters"
http://www.newswire.ca/en/story/1417004/kraft-canada-la-lnh-l-ajlnh-et-sportsnet-reconstruisent-des-arenas-au-canada,newswire.ca,2014-09-24,Canada,Oscar_Mayer/NAM_NAM/Oscar_Mayer,"Les  marques  emblématiques  de  la  Société  comprennent  Kraft  ,  Capri  Sun  ,  Jell-O  ,  Kool-Aid  ,  Lunchables  ,  Maxwell  House  , Oscar_Mayer  ,  Philadelphia  ,  Planters  et  Velveeta  .",oscar_mayer,nam_nam,oscar_mayer,",",",",PUNCT,House,House,PROPN,Maxwell,Maxwell,PROPN,",",",",PUNCT,Lunchables,Lunchables,PROPN,",",",",PUNCT,Philadelphia,Philadelphia,PROPN,",",",",PUNCT,Planters,Planters,PROPN,et,et,CONJ,2014-09-24,2014,2010,PROPN PUNCT Oscar Mayer PUNCT PROPN,PUNCT Oscar Mayer PUNCT,PROPN PUNCT Oscar Mayer,PROPN PROPN PUNCT Oscar Mayer,PUNCT PROPN PROPN PUNCT Oscar Mayer,Oscar Mayer PUNCT PROPN,Oscar Mayer PUNCT PROPN PUNCT,Oscar Mayer PUNCT PROPN PUNCT PROPN,"House , Oscar Mayer , Philadelphia",", Oscar Mayer ,","House , Oscar Mayer","Maxwell House , Oscar Mayer",", Maxwell House , Oscar Mayer","Oscar Mayer , Philadelphia","Oscar Mayer , Philadelphia ,","Oscar Mayer , Philadelphia , Planters"
http://www.newswire.ca/fr/story/1501919/que-le-vote-commence-kraft-hockeyville-nomme-les-10-communautes-finalistes,newswire.ca,2015-03-16,Canada,Oscar_Mayer/NAM_NAM/Oscar_Mayer,"Les  marques  emblématiques  de  la  société  comprennent  Kraft  ,  Capri  Sun  ,  JELL-O  ,  Kool-Aid  ,  Lunchables  ,  Maxwell  House  , Oscar_Mayer  ,  Philadelphia  ,  Planters  et  Velveeta  .",oscar_mayer,nam_nam,oscar_mayer,",",",",PUNCT,House,House,PROPN,Maxwell,Maxwell,PROPN,",",",",PUNCT,Lunchables,Lunchables,PROPN,",",",",PUNCT,Philadelphia,Philadelphia,PROPN,",",",",PUNCT,Planters,Planters,PROPN,et,et,CONJ,2015-03-16,2015,2010,PROPN PUNCT Oscar Mayer PUNCT PROPN,PUNCT Oscar Mayer PUNCT,PROPN PUNCT Oscar Mayer,PROPN PROPN PUNCT Oscar Mayer,PUNCT PROPN PROPN PUNCT Oscar Mayer,Oscar Mayer PUNCT PROPN,Oscar Mayer PUNCT PROPN PUNCT,Oscar Mayer PUNCT PROPN PUNCT PROPN,"House , Oscar Mayer , Philadelphia",", Oscar Mayer ,","House , Oscar Mayer","Maxwell House , Oscar Mayer",", Maxwell House , Oscar Mayer","Oscar Mayer , Philadelphia","Oscar Mayer , Philadelphia ,","Oscar Mayer , Philadelphia , Planters"
http://www.lemonde.fr/economie/article/2015/03/25/kraft-foods-pourrait-bientot-etre-rachete-par-le-fonds-3g-capital_4600513_3234.html#xtor%3DRSS-3208001,lemonde.fr,2015-03-25,France,Oscar_Mayer/NAM_NAM/Oscar_Mayer,"Le  groupe  est  issu  de  la  scission  de  l'  ex  Kraft  foods  Inc  ,  qui  s'  est  séparé  en  deux  entités  :  Mondelez  ,  qui  regroupe  les  marques  de  confiserie  et  de  snacks  au  plan  international  (  Oreo  ,  Ritz  )  ,  et  Kraft  foods  ,  donc  ,  qui  fabrique  notamment  de  la  charcuterie  ( Oscar_Mayer  )  ,  du  café  (  Maxwell  House  )  ,  du  fromage  (  Philadelphia  ,  Velveeta  )  ou  encore  du  beurre  de  cacahuète  (  Planters  )  ,  toutes  sortes  de  produits  destinés  au  marché  nord  américain  .",oscar_mayer,nam_nam,oscar_mayer,(,(,PUNCT,charcuterie,charcuterie,NOUN,la,le,DET,de,de,ADP,notamment,notamment,ADV,),),PUNCT,",",",",PUNCT,du,du,ADP DET,café,café,NOUN,(,(,PUNCT,2015-03-25,2015,2010,NOUN PUNCT Oscar Mayer PUNCT PUNCT,PUNCT Oscar Mayer PUNCT,NOUN PUNCT Oscar Mayer,DET NOUN PUNCT Oscar Mayer,ADP DET NOUN PUNCT Oscar Mayer,Oscar Mayer PUNCT PUNCT,Oscar Mayer PUNCT PUNCT ADP DET,Oscar Mayer PUNCT PUNCT ADP DET NOUN,"charcuterie ( Oscar Mayer ) ,",( Oscar Mayer ),charcuterie ( Oscar Mayer,le charcuterie ( Oscar Mayer,de le charcuterie ( Oscar Mayer,"Oscar Mayer ) ,","Oscar Mayer ) , du","Oscar Mayer ) , du café"
