url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.saint-nazaire.maville.com/actu/actudet_-nantes.-pommeraye-un-escalier-tout-neuf...-et-centenaire-a-la-fois_dep-2624895_actu.Htm?xtor=RSS-4&utm_source=RSS_MVI_saint-nazaire&utm_medium=RSS&utm_campaign=RSS,maville.com,2014-09-23,===NONE===,TBO/NAM/TBO,"Dans  Presse  Océan  de  ce  mercredi  24  septembre  (  version  numérique  )  ,  Jean  Bureau  ,  patron  de  la  scierie TBO  à  Riaillé  dans  le  Pays  d'  Ancenis  ,  raconte  pourquoi  et  comment  il  a  choisi  un  lot  de  chênes  centenaires  issu  d'  un  bois  local  ,  pour  réaliser  le  parquet  et  les  marches  de  l'  escalier  de  Pommeraye  . </doc>",tbo,nam,tbo,scierie,scierie,NOUN,la,le,DET,de,de,ADP,patron,patron,NOUN,",",",",PUNCT,à,à,ADP,Riaillé,Riaillé,PROPN,dans,dans,ADP,le,le,DET,Pays,pays,NOUN,2014-09-23,2014,2010,DET NOUN TBO ADP PROPN,NOUN TBO ADP,DET NOUN TBO,ADP DET NOUN TBO,NOUN ADP DET NOUN TBO,TBO ADP PROPN,TBO ADP PROPN ADP,TBO ADP PROPN ADP DET,le scierie TBO à Riaillé,scierie TBO à,le scierie TBO,de le scierie TBO,patron de le scierie TBO,TBO à Riaillé,TBO à Riaillé dans,TBO à Riaillé dans le
http://www.zonebourse.com/SAFRAN-4696/actualite/SAFRAN--LArrius-2B2plus-obtient-le-feu-vert-de-lrsquoAESA-19195637/,zonebourse.com,2014-10-14,===NONE===,TBO/NAM/TBO,"Le  potentiel  entre  deux  révisions  (  Time  Between  Overhaul  , TBO  )  de  4  0  0  0  heures  et  la  faible  consommation  de  carburant  font  de  l'  Arrius  2  B  2  plus  l'  un  des  moteurs  les  plus  compétitifs  de  sa  catégorie  .",tbo,nam,tbo,",",",",PUNCT,Overhaul,Overhaul,PROPN,Between,Between,PROPN,Time,Time,PROPN,(,(,PUNCT,),),PUNCT,de,de,ADP,4,@card@,ADJ,0,@card@,ADJ,0,@card@,ABR,2014-10-14,2014,2010,PROPN PUNCT TBO PUNCT ADP,PUNCT TBO PUNCT,PROPN PUNCT TBO,PROPN PROPN PUNCT TBO,PROPN PROPN PROPN PUNCT TBO,TBO PUNCT ADP,TBO PUNCT ADP ADJ,TBO PUNCT ADP ADJ ADJ,"Overhaul , TBO ) de",", TBO )","Overhaul , TBO","Between Overhaul , TBO","Time Between Overhaul , TBO",TBO ) de,TBO ) de @card@,TBO ) de @card@ @card@
http://www.lesechos.fr/monde/europe/0203887119999-voyage-au-pays-de-la-dette-zero-1057327.php?xtor=RSS-2053,lesechos.fr,2014-10-24,France,TBO/NAM/TBO,Le  budget  de  36  millions  d'  euros  sera  financé  en  partie  par  les  établissements  techniques  d'  Offenburg  ( TBO  )  .,tbo,nam,tbo,(,(,PUNCT,Offenburg,Offenburg,PROPN,d',de,ADP,techniques,technique,ADJ,établissements,établissement,NOUN,),),PUNCT,.,.,PUNCT,,,,,,,,,,2014-10-24,2014,2010,PROPN PUNCT TBO PUNCT PUNCT,PUNCT TBO PUNCT,PROPN PUNCT TBO,ADP PROPN PUNCT TBO,ADJ ADP PROPN PUNCT TBO,TBO PUNCT PUNCT,,,Offenburg ( TBO ) .,( TBO ),Offenburg ( TBO,de Offenburg ( TBO,technique de Offenburg ( TBO,TBO ) .,,
http://apanews.net/news/fr/article.php?id=817626,apanews.net,2015-02-20,France,TBO/NAM/TBO,"Le  Treichville  Biafra  Olympique  ( TBO  )  ,  quintuple  champion  de  la  compétition  du  Rugby  à  VII  qui  a  remporté  les  deux  dernières  éditions  ,  étrennera  son  titre  face  à  des  adversaires  comme  l'  Olympique  Rugby  Club  de  Koumassi  (  ORCK  )  ,  Vice-champion  de  rugby  à  XV  en  2013  et  en  2014  . </doc>",tbo,nam,tbo,(,(,PUNCT,Olympique,Olympique,PROPN,Biafra,Biafra,PROPN,Treichville,Treichville,PROPN,Le,le,DET,),),PUNCT,",",",",PUNCT,quintuple,quintuple,ADJ,champion,champion,NOUN,de,de,ADP,2015-02-20,2015,2010,PROPN PUNCT TBO PUNCT PUNCT,PUNCT TBO PUNCT,PROPN PUNCT TBO,PROPN PROPN PUNCT TBO,PROPN PROPN PROPN PUNCT TBO,TBO PUNCT PUNCT,TBO PUNCT PUNCT ADJ,TBO PUNCT PUNCT ADJ NOUN,"Olympique ( TBO ) ,",( TBO ),Olympique ( TBO,Biafra Olympique ( TBO,Treichville Biafra Olympique ( TBO,"TBO ) ,","TBO ) , quintuple","TBO ) , quintuple champion"
http://www.latribune.fr/technos-medias/quand-alibaba-veut-devenir-le-netflix-chinois-484031.html,latribune.fr,2015-06-15,France,TBO/NAM/TBO,"Le  groupe  lancera  dans  deux  mois  son  service  de  vidéo  en  streaming  ,  dénommé TBO  ,  dont  90  %  des  contenus  seront  payants  .",tbo,nam,tbo,dénommé,dénommer,VERB,",",",",PUNCT,streaming,streaming,NOUN,en,en,ADP,vidéo,vidéo,NOUN,",",",",PUNCT,dont,dont,PRON,90,@card@,ADJ,%,%,SYM,des,du,ADP DET,2015-06-15,2015,2010,PUNCT VERB TBO PUNCT PRON,VERB TBO PUNCT,PUNCT VERB TBO,NOUN PUNCT VERB TBO,ADP NOUN PUNCT VERB TBO,TBO PUNCT PRON,TBO PUNCT PRON ADJ,TBO PUNCT PRON ADJ SYM,", dénommer TBO , dont","dénommer TBO ,",", dénommer TBO","streaming , dénommer TBO","en streaming , dénommer TBO","TBO , dont","TBO , dont @card@","TBO , dont @card@ %"
http://www.latribune.fr/technos-medias/quand-alibaba-veut-devenir-le-netflix-chinois-484031.html,latribune.fr,2015-06-15,France,TBO/NAM/TBO,"Ce  service  sera  baptisé TBO  ,  ou  Tmall  Box  Office  ,  et  son  contenu  sera  acheté  en  Chine  et  dans  d'  autres  pays  ,  tout  en  proposant  également  des  productions  originales  ,  a  déclaré  Patrick  Liu  à  la  presse  .",tbo,nam,tbo,baptisé,baptiser,VERB,sera,être,VERB,service,service,NOUN,Ce,ce,PRON,,,,",",",",PUNCT,ou,ou,CONJ,Tmall,Tmall,PROPN,Box,Box,PROPN,Office,Office,PROPN,2015-06-15,2015,2010,VERB VERB TBO PUNCT CONJ,VERB TBO PUNCT,VERB VERB TBO,NOUN VERB VERB TBO,PRON NOUN VERB VERB TBO,TBO PUNCT CONJ,TBO PUNCT CONJ PROPN,TBO PUNCT CONJ PROPN PROPN,"être baptiser TBO , ou","baptiser TBO ,",être baptiser TBO,service être baptiser TBO,ce service être baptiser TBO,"TBO , ou","TBO , ou Tmall","TBO , ou Tmall Box"
http://www.latribune.fr/technos-medias/quand-alibaba-veut-devenir-le-netflix-chinois-484031.html,latribune.fr,2015-06-15,France,TBO/NAM/TBO,"Contrairement  à  la  majorité  de  ses  concurrents  ,  environ  90  %  du  contenu  de TBO  sera  payant  ,  soit  par  abonnement  mensuel  soit  par  achat  ponctuel  ,  a  précisé  Patrick  Liu  .",tbo,nam,tbo,de,de,ADP,contenu,contenu,NOUN,du,du,ADP DET,%,%,SYM,90,@card@,ADJ,sera,être,VERB,payant,payant,ADJ,",",",",PUNCT,soit,soit,CONJ,par,par,ADP,2015-06-15,2015,2010,NOUN ADP TBO VERB ADJ,ADP TBO VERB,NOUN ADP TBO,ADP DET NOUN ADP TBO,SYM ADP DET NOUN ADP TBO,TBO VERB ADJ,TBO VERB ADJ PUNCT,TBO VERB ADJ PUNCT CONJ,contenu de TBO être payant,de TBO être,contenu de TBO,du contenu de TBO,% du contenu de TBO,TBO être payant,"TBO être payant ,","TBO être payant , soit"
http://www.lesechos.fr/monde/asie-pacifique/021136393678-cette-nuit-en-asie-un-soldat-nord-coreen-reussit-une-rarissime-evasion-vers-le-sud-1128333.php#xtor%3DRSS-38,lesechos.fr,2015-06-15,France,TBO/NAM/TBO,"Le  géant  chinois  du  commerce  en  ligne  ,  engagé  depuis  quelques  années  dans  une  stratégie  de  diversification  tous  azimuts  ,  a  annoncé  dimanche  qu'  il  allait  ouvrir  ,  d'  ici  à  deux  mois  ,  un  service  de  vidéo  en  ligne  ,  sur  le  modèle  de  la  chaîne  américaine  HBO  ou  des  services  proposés  par  Netflix  .  Ce  service  sera  baptisé TBO  ,  pour  Tmall  Box  Office  -  Tmall  est  l'  un  des  grands  magasins  virtuels  opéré  par  Alibaba  .",tbo,nam,tbo,baptisé,baptiser,VERB,sera,être,VERB,service,service,NOUN,Ce,ce,PRON,.,.,PUNCT,",",",",PUNCT,pour,pour,ADP,Tmall,Tmall,PROPN,Box,Box,PROPN,Office,Office,PROPN,2015-06-15,2015,2010,VERB VERB TBO PUNCT ADP,VERB TBO PUNCT,VERB VERB TBO,NOUN VERB VERB TBO,PRON NOUN VERB VERB TBO,TBO PUNCT ADP,TBO PUNCT ADP PROPN,TBO PUNCT ADP PROPN PROPN,"être baptiser TBO , pour","baptiser TBO ,",être baptiser TBO,service être baptiser TBO,ce service être baptiser TBO,"TBO , pour","TBO , pour Tmall","TBO , pour Tmall Box"
http://www.parismatch.com/Culture/Medias/Alibaba-va-lancer-un-Netflix-chinois-TBO-Tmall-Box-Office-782980,parismatch.com,2015-06-15,France,TBO/NAM/TBO,"Baptisée TBO  ,  ou  Tmall  Box  Office  ,  cette  nouvelle  plateforme  sera  proposée  d'  ici  à  deux  mois  via  des  boîtiers  décodeurs  pour  téléviseurs  et  postes  ""  connectés  ""  ,  a  expliqué  samedi  Liu  Chunning  ,  président  de  la  branche  divertissement  numérique  . </doc>",tbo,nam,tbo,Baptisée,baptiser,VERB,,,,,,,,,,,,,",",",",PUNCT,ou,ou,CONJ,Tmall,Tmall,PROPN,Box,Box,PROPN,Office,Office,PROPN,2015-06-15,2015,2010,,VERB TBO PUNCT,,,,TBO PUNCT CONJ,TBO PUNCT CONJ PROPN,TBO PUNCT CONJ PROPN PROPN,,"baptiser TBO ,",,,,"TBO , ou","TBO , ou Tmall","TBO , ou Tmall Box"
http://www.aquilon.nt.ca/article/Manifestation-pour-un-moratoire-201506041238/default.aspx#article,aquilon.nt.ca,2015-06-10,Canada,TBO/NOM/TBO,"À  l'  Assemblée  législative  ,  la  pétition  a  été  remise  au  député  de  Weledeh  Bob  Bromley  par  Ben  McDonald  ,  d'  Alternatives  North  ,  qui  forme  la  coalition  FRAC  avec  Ecology  North  ,  le  chapitre  des TBO  du  Conseil  des  Canadiens  et  du  Canadian  Physicians  for  the  Environnment  (  CAPE  )  .",tbo,nom,tbo,des,du,ADP DET,chapitre,chapitre,NOUN,le,le,DET,",",",",PUNCT,North,North,PROPN,du,du,ADP DET,Conseil,Conseil,PROPN,des,du,ADP DET,Canadiens,Canadiens,PROPN,et,et,CONJ,2015-06-10,2015,2010,NOUN ADP DET TBO ADP DET PROPN,ADP DET TBO ADP DET,NOUN ADP DET TBO,DET NOUN ADP DET TBO,PUNCT DET NOUN ADP DET TBO,TBO ADP DET PROPN,TBO ADP DET PROPN ADP DET,TBO ADP DET PROPN ADP DET PROPN,chapitre du TBO du Conseil,du TBO du,chapitre du TBO,le chapitre du TBO,", le chapitre du TBO",TBO du Conseil,TBO du Conseil du,TBO du Conseil du Canadiens
